date,ticker,posts,channels
2026-07-27,SMRA,2,1
2026-07-27,TINS,1,1
2026-07-27,TLKM,3,1
2026-07-27,TPIA,4,2
2026-07-27,UNTR,2,1
2026-07-29,ADHI,2,1
2026-07-29,AKRA,2,1
2026-07-29,AMMN,3,1
2026-07-29,AMRT,4,1
2026-07-29,ANTM,2,1
2026-07-29,ARTO,1,1
2026-07-29,ASII,10,1
2026-07-29,BBCA,21,1
2026-07-29,BBNI,4,2
2026-07-29,BBRI,7,1
2026-07-29,BBTN,3,1
2026-07-29,BFIN,5,1
2026-07-29,BMRI,9,1
2026-07-29,BREN,1,1
2026-07-29,BRIS,2,1
2026-07-29,BRMS,3,1
2026-07-29,BRPT,6,1
2026-07-29,BSDE,1,1
2026-07-29,BTPS,1,1
2026-07-29,BUMI,5,1
2026-07-29,BYAN,3,1
2026-07-29,CMRY,1,1
2026-07-29,DEWA,4,2
2026-07-29,DMAS,5,1
2026-07-29,ERAA,3,1
2026-07-29,ESSA,2,1
2026-07-29,GGRM,10,1
2026-07-29,GOTO,1,1
2026-07-29,HMSP,1,1
2026-07-29,ICBP,1,1
2026-07-29,INCO,2,1
2026-07-29,INDF,1,1
2026-07-29,INDY,4,2
2026-07-29,ISAT,4,1
2026-07-29,JSMR,1,1
2026-07-29,KLBF,1,1
2026-07-29,MDKA,2,1
2026-07-29,MIDI,2,1
2026-07-29,MTEL,1,1
2026-07-29,MYOR,1,1
2026-07-29,NCKL,2,2
2026-07-29,PGEO,1,1
2026-07-29,PSAB,1,1
2026-07-29,PTBA,1,1
2026-07-29,PTPP,1,1
2026-07-29,SIDO,1,1
2026-07-29,SMGR,1,1
2026-07-29,SMRA,3,1
2026-07-29,SRTG,1,1
2026-07-29,SSIA,1,1
2026-07-29,TINS,6,1
2026-07-29,TLKM,5,1
2026-07-29,TOWR,2,2
2026-07-29,TPIA,7,1
2026-07-29,UNTR,2,1
2026-07-29,UNVR,4,1
2026-07-29,WIKA,1,1
2026-07-29,WSKT,1,1
2026-07-31,AADI,1,1
2026-07-31,ADHI,1,1
2026-07-31,ADRO,2,2
2026-07-31,AKRA,1,1
2026-07-31,AMMN,5,1
2026-07-31,AMRT,1,1
2026-07-31,ANTM,5,1
2026-07-31,ASII,8,2
2026-07-31,BBCA,12,2
2026-07-31,BBNI,2,1
2026-07-31,BBRI,6,1
2026-07-31,BBTN,2,1
2026-07-31,BFIN,1,1
2026-07-31,BMRI,3,1
2026-07-31,BREN,1,1
2026-07-31,BRIS,2,1
2026-07-31,BRMS,1,1
2026-07-31,BRPT,1,1
2026-07-31,BUMI,6,1
2026-07-31,BYAN,1,1
2026-07-31,CPIN,1,1
2026-07-31,DEWA,4,2
2026-07-31,DMAS,2,1
2026-07-31,ELSA,1,1
2026-07-31,EMTK,4,1
2026-07-31,ENRG,1,1
2026-07-31,ERAA,2,2
2026-07-31,ESSA,4,1
2026-07-31,EXCL,1,1
2026-07-31,GGRM,2,1
2026-07-31,GJTL,1,1
2026-07-31,GOTO,4,1
2026-07-31,HRUM,1,1
2026-07-31,ICBP,1,1
2026-07-31,INCO,5,1
2026-07-31,INDF,1,1
2026-07-31,INKP,2,2
2026-07-31,INTP,1,1
2026-07-31,JPFA,1,1
2026-07-31,JSMR,1,1
2026-07-31,KIJA,1,1
2026-07-31,KLBF,1,1
2026-07-31,LPPF,1,1
2026-07-31,MAPA,3,1
2026-07-31,MAPI,4,1
2026-07-31,MBMA,5,1
2026-07-31,MDKA,1,1
2026-07-31,MIDI,1,1
2026-07-31,MTEL,2,1
2026-07-31,MYOR,3,1
2026-07-31,NCKL,2,1
2026-07-31,PANI,2,1
2026-07-31,PGAS,1,1
2026-07-31,PGEO,2,1
2026-07-31,PTBA,2,1
2026-07-31,PTPP,2,1
2026-07-31,PTRO,3,1
2026-07-31,RALS,1,1
2026-07-31,SIDO,1,1
2026-07-31,SMGR,2,1
2026-07-31,SSIA,3,1
2026-07-31,TINS,9,2
2026-07-31,TLKM,2,1
2026-07-31,TPIA,6,1
2026-07-31,UNTR,6,1
2026-07-31,UNVR,1,1
2026-07-31,WIKA,1,1
2026-07-31,WSKT,1,1
